preco;quartos;suites;vagas;area;bairro;tipo;cidade
128250;1;0;1;42;Moinhos;Apartamento;lajeado
190800;;0;0;360;Alto do Parque;Terreno;lajeado
508800;3;1;1;137;Moinhos;Casa;lajeado
398600;3;1;1;158;Sao Cristovao;Apartamento;lajeado
939900;3;3;2;253;Sao Cristovao;Apartamento;lajeado
350000;3;1;2;122;Moinhos D'agua;Casa;lajeado
190000;2;0;3;76;Moinhos;Apartamento;lajeado
212000;;0;0;8986;Conventos;Chacara;lajeado
318000;3;0;1;101;Moinhos D'agua;Casa;lajeado
137800;2;0;1;55;Moinhos;Apartamento;lajeado
1400000;5;2;2;318;Sao Cristovao;Casa;lajeado
212000;2;0;1;77;Universitario;Casa;lajeado
243800;;0;1;82;Centro;Conjunto;lajeado
143100;2;0;1;60;Conventos;Casa;lajeado
500000;3;2;2;150;Universitario;Casa;lajeado
593600;3;0;2;233;Verdes Vales;Casa;lajeado
402800;3;1;2;138;Universitario;Casa;lajeado
1077415;3;1;0;188;Floresta;Apartamento;lajeado
115000;;0;0;450;Montanha;Terreno;lajeado
280000;2;2;1;104;Moinhos;Casa;lajeado
192537;;0;0;360;Sao Cristovao;Terreno;lajeado
169000;2;0;1;71;Moinhos;Apartamento;lajeado
286000;2;0;0;116;Campestre;Casa;lajeado
435000;3;1;0;157;Universitario;Casa;lajeado
1600000;4;2;3;370;Carneiros;Casa;lajeado
385000;3;1;1;105;Moinhos;Apartamento;lajeado
962750;3;3;3;254;Sao Cristovao;Apartamento;lajeado
159000;;0;0;360;Universitario;Terreno;lajeado
340341;2;0;1;83;Centro;Apartamento;lajeado
477000;3;0;1;119;Montanha;Casa;lajeado
210000;3;0;1;91;Floresta;Apartamento;lajeado
6360000;;0;0;3712;Floresta;Terreno;lajeado
170000;;0;0;360;Alto do Parque;Terreno;lajeado
140000;2;0;1;64;Jardim do Cedro;Casa;lajeado
286200;2;0;2;125;Olarias;Casa;lajeado
113704;1;0;1;56;Floresta;Apartamento;lajeado
402800;3;0;2;192;Sao Cristovao;Casa;lajeado
795000;3;1;2;300;Carneiros;Casa;lajeado
530000;2;1;2;93;Americano;Apartamento;lajeado
381600;3;0;1;114;Floresta;Apartamento;lajeado
300000;3;1;2;112;Verdes Vales;Casa;lajeado
185950;;0;0;375;Universitario;Terreno;lajeado
650000;4;1;2;275;Americano;Casa;lajeado
495000;3;1;1;126;Universitario;Apartamento;lajeado
980000;3;1;4;229;Alto do Parque;Casa;lajeado
235000;2;2;2;95;Moinhos D'agua;Casa;lajeado
139000;2;0;1;57;Moinhos D'agua;Casa;lajeado
185000;2;0;1;68;Moinhos D'agua;Casa;lajeado
285828;2;1;1;79;Floresta;Apartamento;lajeado
295090;2;1;1;89;Floresta;Apartamento;lajeado
1325000;3;2;3;278;Centro;Apartamento;lajeado
302000;3;1;3;146;Montanha;Casa;lajeado
149000;2;0;2;91;Bom Pastor;Casa;lajeado
148400;2;0;1;54;Universitario;Apartamento;lajeado
224729;1;0;0;35;Sao Cristovao;Conjunto;lajeado
172846;2;0;1;58;Moinhos;Apartamento;lajeado
178247;2;0;1;56;Moinhos;Apartamento;lajeado
178247;2;0;1;56;Moinhos;Apartamento;lajeado
2120000;;0;0;3111;Moinhos;Terreno;lajeado
387200;3;1;1;132;Sao Cristovao;Apartamento;lajeado
147000;1;0;1;50;Centro;Apartamento;lajeado
125000;2;0;1;49;Jardim do Cedro;Apartamento;lajeado
143100;2;0;0;70;Centenario;Casa;lajeado
169600;;0;0;1029;Olarias;Terreno;lajeado
300000;3;1;2;128;Universitario;Casa;lajeado
153700;2;0;1;62;Olarias;Casa;lajeado
445200;3;0;0;140;Universitario;Casa;lajeado
137800;2;0;1;63;Moinhos D'agua;Casa;lajeado
245000;3;0;1;130;Hidraulica;Casa;lajeado
508800;3;1;1;137;Moinhos;Casa;lajeado
137800;2;0;0;71;Olarias;Casa;lajeado
159000;2;0;0;71;Olarias;Casa;lajeado
1060000;4;2;2;278;Sao Cristovao;Casa;lajeado
169600;2;0;1;56;Sao Bento;Casa;lajeado
386900;2;2;1;93;Americano;Apartamento;lajeado
330000;;0;0;377;Hidraulica;Terreno;lajeado
296800;2;0;2;112;Olarias;Casa;lajeado
420000;3;1;1;120;Sao Cristovao;Casa;lajeado
435000;3;1;0;157;Universitario;Casa;lajeado
190000;3;0;1;87;Floresta;Apartamento;lajeado
614800;3;1;2;115;Sao Cristovao;Casa;lajeado
180000;3;0;2;73;Sao Bento;Casa;lajeado
583000;3;0;3;187;Olarias;Casa;lajeado
719890;3;1;2;183;Floresta;Apartamento;lajeado
235000;3;1;2;108;Olarias;Casa;lajeado
265000;2;0;1;88;Verdes Vales;Casa;lajeado
238891;;0;0;55;Centro;Loja/Salao;lajeado
148400;2;0;2;58;Olarias;Casa;lajeado
302000;3;1;3;146;Montanha;Casa;lajeado
360000;3;1;1;131;Hidraulica;Apartamento;lajeado
159900;2;0;2;68;Moinhos D'agua;Casa;lajeado
190000;;0;0;60;Centro;Conjunto;lajeado
137800;2;0;0;73;Olarias;Casa;lajeado
190800;2;0;1;88;Floresta;Apartamento;lajeado
848000;4;1;0;250;Americano;Casa;lajeado
434600;3;1;0;170;Centenario;Casa;lajeado
162000;;0;1;38;Universitario;Quitinete;lajeado
139000;2;0;1;57;Moinhos D'agua;Casa;lajeado
434600;3;1;1;168;Conventos;Casa;lajeado
185000;2;0;1;68;Moinhos D'agua;Casa;lajeado
381600;3;1;2;138;Universitario;Casa;lajeado
750000;3;3;2;165;Americano;Apartamento;lajeado
1385911;3;1;0;205;Floresta;Apartamento;lajeado
199000;1;0;1;42;Sao Cristovao;Apartamento;lajeado
212000;1;0;1;50;Centro;Apartamento;lajeado
344560;2;0;0;85;Floresta;Apartamento;lajeado
424000;3;1;2;228;Centro;Apartamento;lajeado
135000;2;0;1;68;Olarias;Casa;lajeado
795000;;0;1;176;Hidraulica;Conjunto;lajeado
307400;3;0;2;138;Conventos;Casa;lajeado
160000;2;0;1;58;Montanha;Apartamento;lajeado
477000;3;0;2;140;Sao Cristovao;Casa;lajeado
93300;;0;0;360;Bom Pastor;Terreno;lajeado
338000;3;0;2;124;Universitario;Casa;lajeado
160000;2;0;1;58;Montanha;Apartamento;lajeado
